Disease,Model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__subsample
Diabetes,XGBoost,0.15804095268249513,0.013500861759915921,0.007804393768310547,0.0021286224217609124,,,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.8145348837209303,0.7962209302325581,0.8296511627906976,0.759593023255814,0.7601190476190477,0.7920238095238095,0.028319080944773704,54,7.0,,300.0,0.1,1.0
Heart Disease,Logistic Regression,0.007001447677612305,3.863263912301845e-06,0.0036211013793945312,0.00046376744193148714,0.1,,"{'model__C': 0.1, 'model__class_weight': None}",0.9353146853146853,0.8653846153846154,0.7781818181818182,0.96,0.8278388278388279,0.8733439893439894,0.06714095846745324,1,,,,,
Heart Disease,Logistic Regression,0.008005189895629882,1.6209237394821273e-05,0.0033289909362792967,0.0004271467074107007,0.1,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.9353146853146853,0.8653846153846154,0.7781818181818182,0.96,0.8278388278388279,0.8733439893439894,0.06714095846745324,1,,,,,
Heart Disease,Logistic Regression,0.007012271881103515,0.0005983770506073529,0.004114723205566407,0.0017787988761518586,1.0,,"{'model__C': 1.0, 'model__class_weight': None}",0.9213286713286714,0.8601398601398601,0.7636363636363636,0.9581818181818182,0.8278388278388279,0.8662251082251082,0.06859653993492484,5,,,,,
Heart Disease,Logistic Regression,0.007734537124633789,0.0014333939360349733,0.003192138671875,0.00039750523483824454,1.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced'}",0.9213286713286714,0.8601398601398601,0.7636363636363636,0.9581818181818182,0.8278388278388279,0.8662251082251082,0.06859653993492484,5,,,,,
Heart Disease,Logistic Regression,0.007546901702880859,0.00048655406102255256,0.003404998779296875,0.0008318826991482562,10.0,,"{'model__C': 10.0, 'model__class_weight': None}",0.9265734265734266,0.8636363636363636,0.7636363636363637,0.9581818181818182,0.8241758241758242,0.8672407592407592,0.0698456766056458,3,,,,,
Heart Disease,Logistic Regression,0.007380485534667969,0.0007598578834287199,0.003914833068847656,0.0006575389904827362,10.0,balanced,"{'model__C': 10.0, 'model__class_weight': 'balanced'}",0.9265734265734266,0.8636363636363636,0.7636363636363637,0.9581818181818182,0.8241758241758242,0.8672407592407592,0.0698456766056458,3,,,,,
Heart Disease,Random Forest,0.08900914192199708,0.0060569080061261054,0.00924234390258789,0.0014562520499682504,,,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.9685314685314685,0.8846153846153846,0.7763636363636364,0.9472727272727273,0.8516483516483517,0.8856863136863137,0.06894546184561445,4,3.0,1.0,100.0,,
Heart Disease,Random Forest,0.185261869430542,0.005279853131031193,0.014428424835205077,0.001137094350149998,,,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.9667832167832168,0.8846153846153846,0.7745454545454545,0.9454545454545455,0.8608058608058607,0.8864408924408924,0.06799790683587982,1,3.0,1.0,200.0,,
Heart Disease,Random Forest,0.2515254020690918,0.007054960203075521,0.018751144409179688,0.0007964860716042852,,,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",0.9702797202797203,0.8828671328671329,0.7781818181818182,0.9509090909090909,0.847985347985348,0.8860446220446221,0.06985118514711686,2,3.0,1.0,300.0,,
Heart Disease,Random Forest,0.09997029304504394,0.01437323773260083,0.009825897216796876,0.002257831171662667,,,"{'model__max_depth': 3, 'model__min_samples_leaf': 3, 'model__n_estimators': 100}",0.9667832167832168,0.8793706293706294,0.7818181818181817,0.9454545454545454,0.8516483516483516,0.8850149850149849,0.06653383403281911,6,3.0,3.0,100.0,,
Heart Disease,Random Forest,0.17277045249938966,0.004174907172572764,0.014022207260131836,0.0011347910968097187,,,"{'model__max_depth': 3, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.9650349650349651,0.881118881118881,0.7709090909090909,0.9490909090909091,0.8424908424908425,0.8817289377289377,0.07113166398649656,8,3.0,3.0,200.0,,
Heart Disease,Random Forest,0.26618452072143556,0.0064549829480202965,0.020825767517089845,0.0026123556138109294,,,"{'model__max_depth': 3, 'model__min_samples_leaf': 3, 'model__n_estimators': 300}",0.9702797202797203,0.8811188811188811,0.7836363636363636,0.9509090909090909,0.8424908424908425,0.8856869796869796,0.06886357176732237,3,3.0,3.0,300.0,,
Heart Disease,Random Forest,0.08828353881835938,0.0020328483118001615,0.009396553039550781,0.0014945175018543763,,,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.9597902097902098,0.8776223776223777,0.7727272727272727,0.9418181818181819,0.8461538461538461,0.8796223776223776,0.06759571794610676,13,5.0,1.0,100.0,,
Heart Disease,Random Forest,0.17692599296569825,0.0077647084454366576,0.013404750823974609,0.0007009058016765222,,,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.9650349650349651,0.8706293706293706,0.7545454545454546,0.9381818181818181,0.8516483516483516,0.8760079920079921,0.07371140514284397,15,5.0,1.0,200.0,,
Heart Disease,Random Forest,0.27072830200195314,0.015361631205477195,0.018314027786254884,0.0012993684785547123,,,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",0.9632867132867133,0.8811188811188811,0.7618181818181818,0.9418181818181819,0.8461538461538461,0.8788391608391608,0.07192382449441678,14,5.0,1.0,300.0,,
Heart Disease,Random Forest,0.10419940948486328,0.006426154539472316,0.010021448135375977,0.0010749512775402356,,,"{'model__max_depth': 5, 'model__min_samples_leaf': 3, 'model__n_estimators': 100}",0.9597902097902098,0.8846153846153846,0.769090909090909,0.9527272727272728,0.8589743589743589,0.885039627039627,0.0697035872465516,5,5.0,3.0,100.0,,
Heart Disease,Random Forest,0.178231143951416,0.010190166897698229,0.01371145248413086,0.0011352810004036497,,,"{'model__max_depth': 5, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.9632867132867133,0.8741258741258742,0.7654545454545455,0.9527272727272728,0.8553113553113554,0.8821811521811522,0.07206502809634584,7,5.0,3.0,200.0,,
Heart Disease,Random Forest,0.2695977210998535,0.006366346368352811,0.018019771575927733,0.001250706803735849,,,"{'model__max_depth': 5, 'model__min_samples_leaf': 3, 'model__n_estimators': 300}",0.9632867132867133,0.8723776223776224,0.76,0.9527272727272728,0.8516483516483516,0.880007992007992,0.07414559878234579,12,5.0,3.0,300.0,,
Heart Disease,Random Forest,0.09403924942016602,0.006227464645533108,0.009200382232666015,0.0007540683039529161,,,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.9458041958041958,0.868881118881119,0.7509090909090909,0.9381818181818181,0.815018315018315,0.8637589077589076,0.07403669695059725,18,7.0,1.0,100.0,,
